borehole_id,start_depth,end_depth,start_elevation,end_elevation,lithology
BH1,16.280553249605013,16.780553249605013,155.10594579054862,154.60594579054862,Gravel
BH1,16.780553249605013,17.280553249605013,154.60594579054862,154.10594579054862,Gravel
BH1,17.280553249605013,17.780553249605013,154.10594579054862,153.60594579054862,Gravel
BH1,17.780553249605013,18.280553249605013,153.60594579054862,153.10594579054862,Gravel
BH1,18.280553249605013,18.780553249605013,153.10594579054862,152.60594579054862,Gravel
BH1,18.780553249605013,19.280553249605013,152.60594579054862,152.10594579054862,Gravel
BH1,19.280553249605013,19.780553249605013,152.10594579054862,151.60594579054862,Gravel
BH1,19.780553249605013,20.280553249605013,151.60594579054862,151.10594579054862,Gravel
BH1,20.280553249605013,20.780553249605013,151.10594579054862,150.60594579054862,Gravel
BH1,20.780553249605013,21.280553249605013,150.60594579054862,150.10594579054862,Gravel
BH1,21.280553249605013,21.780553249605013,150.10594579054862,149.60594579054862,Clay
BH1,21.780553249605013,22.280553249605013,149.60594579054862,149.10594579054862,Clay
BH1,22.280553249605013,22.780553249605013,149.10594579054862,148.60594579054862,Clay
BH1,22.780553249605013,23.280553249605013,148.60594579054862,148.10594579054862,Clay
BH1,23.280553249605013,23.780553249605013,148.10594579054862,147.60594579054862,Clay
BH1,23.780553249605013,24.280553249605013,147.60594579054862,147.10594579054862,Clay
BH1,24.280553249605013,24.780553249605013,147.10594579054862,146.60594579054862,Clay
BH1,24.780553249605013,25.280553249605013,146.60594579054862,146.10594579054862,Clay
BH1,25.280553249605013,25.780553249605013,146.10594579054862,145.60594579054862,Clay
BH1,25.780553249605013,26.280553249605013,145.60594579054862,145.10594579054862,Clay
BH1,26.280553249605013,26.780553249605013,145.10594579054862,144.60594579054862,Clay
BH1,26.780553249605013,27.280553249605013,144.60594579054862,144.10594579054862,Clay
BH1,27.280553249605013,27.780553249605013,144.10594579054862,143.60594579054862,Clay
BH1,27.780553249605013,28.280553249605013,143.60594579054862,143.10594579054862,Clay
BH1,28.280553249605013,28.780553249605013,143.10594579054862,142.60594579054862,Clay
BH1,28.780553249605013,29.280553249605013,142.60594579054862,142.10594579054862,Clay
BH1,29.280553249605013,29.780553249605013,142.10594579054862,141.60594579054862,Clay
BH1,29.780553249605013,30.280553249605013,141.60594579054862,141.10594579054862,Clay
BH1,30.280553249605013,30.780553249605013,141.10594579054862,140.60594579054862,Clay
BH1,30.780553249605013,31.280553249605013,140.60594579054862,140.10594579054862,Clay
BH1,31.280553249605013,31.780553249605013,140.10594579054862,139.60594579054862,Clay
BH1,31.780553249605013,32.28055324960501,139.60594579054862,139.10594579054862,Clay
BH1,32.28055324960501,32.78055324960501,139.10594579054862,138.60594579054862,Clay
BH1,32.78055324960501,33.28055324960501,138.60594579054862,138.10594579054862,Clay
BH1,33.28055324960501,33.78055324960501,138.10594579054862,137.60594579054862,Clay
BH1,33.78055324960501,34.28055324960501,137.60594579054862,137.10594579054862,Clay
BH1,34.28055324960501,34.78055324960501,137.10594579054862,136.60594579054862,Clay
BH1,34.78055324960501,35.28055324960501,136.60594579054862,136.10594579054862,Clay
BH1,35.28055324960501,35.78055324960501,136.10594579054862,135.60594579054862,Clay
BH1,35.78055324960501,36.28055324960501,135.60594579054862,135.10594579054862,Clay
