borehole_id,X,Y,Z
BH1,1075.8661939287226,2005.1815408277917,171.38649904015364
BH2,1063.1617891520489,2048.070660038937,194.53547339170052
BH3,1027.7737990800017,2018.697968801505,196.56815040297755
BH4,1031.4203374540728,2088.408771240606,164.8828288948521
BH5,1040.4724796795529,2037.5151872889649,185.58908646671807
BH6,1012.1205945603168,2055.0521309631636,157.80935027328098
BH7,1087.4009307516612,2063.4148834203966,185.67066556810525
BH8,1041.8374253310844,2092.7629801200665,152.38563614759215
BH9,1053.507513734523,2098.679673693802,155.37503088879996
BH10,1002.4430738129117,2034.950633028249,156.58915931257349
BH11,1092.6166375300454,2033.713540139881,154.57825650982986
BH12,1013.3555728158057,2070.9245651817314,154.36153718984409
