borehole_id,X,Y,Z
CPT1,1063.493893849695,2067.103409675662,199.75127850359004
CPT2,1015.2375384865989,2029.8092417120852,156.97770279016967
CPT3,1025.1056519653787,2056.2162472119803,160.8467032289325
CPT4,1082.3711244425838,2053.073475528658,192.15672646803873
CPT5,1015.0347193076079,2004.511105778157,158.54906737219858
CPT6,1028.8984153274614,2085.0109840189343,183.0344158027181
CPT7,1040.5584104193085,2022.2290541275702,188.75369985812347
CPT8,1098.1504159557655,2006.1283433620943,171.82493374069486
CPT9,1039.507172666127,2060.3842511277185,154.64619996558176
CPT10,1042.5960642394718,2089.469648857294,188.38760842417892
CPT11,1042.0765005711048,2040.4379967417447,185.47988769764225
CPT12,1026.5348830313362,2017.1385600642975,193.02742327427273
